,Lugar,Grabadora,Transformación,Permanencia,Longitud,ACIft,ADI,ACItf,BI,TE,ESM,NDSI,P,M,NP,MID,BNF,BNT,MD,FM,SF,RMS,CF,ADIm1,ADIm2,ADIm3,ADIm4,ADIm5,ADIm6,ADIm7,ADIm8,ADIm9,ADIm10,ADIm11
20160101,Guajira,5067,Alta,Baja,73º26'3.2''W,-0.1719471226,0.5847818749,-0.4757170578,-0.8601678912,0.283628426,-0.1828010948,-0.8226078806,-0.902168826,-1.2240714707,-0.8452330861,-1.1428730478,-0.5067505378,-0.9981464303,-0.7929174557,0.3398933703,-0.4140481755,-1.1844212926,-0.5215518624,-0.2410073763,0.2066303925,0.2606098492,-0.3260334125,0.4869369212,0.2323333419,0.1491169789,-0.3726776356,-1.0398708858,-0.9148633633,-0.2001290533
20160102,Guajira,5067,Alta,Baja,73º26'3.2''W,-0.3042408095,0.8747289481,-0.5656903012,-0.375552434,0.4464905129,-0.3839218549,0.0107171788,-0.7589485539,-1.2490188289,-0.635652937,-0.7575081954,-0.5232628697,-0.9981464303,-0.7239677822,0.3967147261,0.3181341676,-1.198962005,-0.4572253412,0.1393982911,0.3508736059,0.1229144825,-0.517689513,0.4214859668,0.1521729111,0.2624470699,0.0291644193,-0.7455872873,-0.9423843656,-0.0685984702
20160103,Guajira,5067,Alta,Baja,73º26'3.2''W,-0.3398222669,0.7468138429,-0.458378961,-0.1352046988,0.4386060271,0.0097474392,0.0827016387,-0.7059842033,-1.2415458493,-0.7790994779,-0.7814542971,-0.5165394841,-0.9981464303,-0.7133736203,0.2197051433,0.1250675473,-1.1996845553,-0.5384088369,0.2458705322,0.2907174417,0.5074162064,-0.3910974663,0.7404041016,0.1327419399,0.1678330473,0.237684981,-0.4040047141,-0.5438760967,0.1018971991
20160104,Guajira,5067,Alta,Baja,73º26'3.2''W,-0.2295840814,0.9180720962,-0.325399881,-0.1100434863,0.4689514439,-0.0799865422,0.2152068999,-0.5611591226,-1.2429360808,-0.6503076941,-0.8480265413,-0.5209210766,-0.9981464303,-0.7061127311,0.0806569309,0.2589926521,-1.2013837294,-0.4952219712,0.3777074975,0.3505683389,0.2744463437,-0.3628609191,0.1312879511,-0.1118605197,0.0546632267,-0.0908330422,-0.6485604635,-0.5446874703,0.1176381112
20160105,Guajira,5067,Alta,Baja,73º26'3.2''W,-0.3081849687,0.8171890542,-0.3221570871,-0.1383368424,0.4646000988,-0.4117056647,0.1996625828,-0.6009864075,-1.2350018293,-0.5214185027,-0.7997941148,-0.5168335101,-0.9981464303,-0.7312152554,0.111812618,0.1107166176,-1.1944719377,-0.4529502388,0.3816445017,0.2400929855,0.2333725056,-0.3232913472,0.1800748904,-0.1310286421,-0.0733128595,-0.1773227055,-0.8369097506,-0.7180134638,0.0468632716
20160111,Guajira,5067,Alta,Baja,73º26'3.2''W,-0.249420684,1.2732567464,-0.2641931274,0.3003364941,0.4272524164,-0.1796656198,0.3583092178,-0.5675973705,-1.2400373661,-0.7017522944,-0.8762415965,-0.5083181482,-0.9981464303,-0.7585725299,0.185296967,0.0336174259,-1.2000679461,-0.5577100952,0.2657488541,-0.1739089462,0.1289496235,-0.5542925582,-0.1088291495,-0.2451102,-0.1385301851,-0.1171648061,-0.5480463889,-0.4225935188,0.023900231
20160112,Guajira,5067,Alta,Baja,73º26'3.2''W,-0.4324416059,1.2483569629,-0.2265443037,-0.1732381263,0.5217844719,0.0969449744,0.0680292515,-0.5879336375,-1.2486793934,-0.8770610675,-0.7981935532,-0.5314115049,-0.9981464303,-0.6458394704,0.1034385962,0.2842932021,-1.2084813337,-0.5394087224,0.0656143003,-0.0772384903,0.0044153479,-0.825354864,0.1210730983,0.1067581813,0.2311850069,0.3781856064,-0.2858966293,0.0261909861,0.3403172755
20160113,Guajira,5067,Alta,Baja,73º26'3.2''W,-0.654504795,1.3184853151,-0.164683235,-0.6196786389,0.5482746184,0.1030866955,-0.2534525355,-0.6647472372,-1.2466376,-0.7904918462,-0.8194117899,-0.5431337924,-0.9981464303,-0.6034808675,-0.1661974602,0.2049361349,-1.2058170944,-0.5572752647,-0.1588872577,-0.3061907649,0.013840435,-0.7446494278,-0.3071842607,-0.2354241459,0.2420029551,0.2497554776,-0.3868718804,-0.1340962855,0.3930654481
20160114,Guajira,5067,Alta,Baja,73º26'3.2''W,-0.5282737647,0.6371496256,-0.5169456486,-0.4979199346,0.5126763958,-0.071020447,-0.0701766131,-0.5697238328,-1.2434366547,-0.8159860014,-0.9215331057,-0.5304399746,-0.9981464303,-0.6148247365,0.301785784,0.1121706338,-1.201559253,-0.549141536,0.1468258268,0.0076426072,0.0772299303,-0.5278532752,0.2641861294,0.1203693537,0.6453860321,0.3808286004,-0.4052988609,-0.3121352813,0.0335497972
20160115,Guajira,5067,Alta,Baja,73º26'3.2''W,-0.4937056878,1.1052988288,-0.243142101,-0.4840030501,0.5238889826,0.0385398622,0.0184810635,-0.6221813595,-1.2455861479,-0.8267236346,-0.7181024882,-0.5283330327,-0.9981464303,-0.6509823647,0.036001035,0.3486303265,-1.2072443694,-0.5301449337,0.0350192525,-0.3764800792,-0.0926381248,-0.5328551846,-0.0177793566,0.0078655517,0.1945589976,0.1897544848,-0.4208642975,-0.3089647992,0.1580385847
